"_unit_id","_golden","_unit_state","_trusted_judgments","_last_judgment_at","stance","date","id","screen_name","text","user_id"
"1266459297","false","finalized","3",,"against
against
against","2017-04-24 11:18:00","856467254384480256","NOIZU_SAMA","macron il va devenir président alors qu'absolument personne le connaissait y'a 6 mois et que son programme est aussi bancal que ma scolarité","178665231"
"1266459854","false","finalized","3",,"none
against
none","2017-04-24 11:20:23","856467852756475904","lady_leila_","Critiqué pour sa soirée à La Rotonde, Macron s’emporte : “Vous n'avez rien compris à la vie” &gt;&gt;… https://t.co/WQnakFeoNe","833091612167258112"
"1266458964","false","finalized","3",,"none
none
none","2017-04-24 11:57:22","856477160562974720","furax863","lepen/macron au second tour
la rentrée demain, 
mes devoirs pas finis 
réveil à 6 heures demain
c'est bon j'abandonne j'marrete la","314644762"
"1266459453","false","finalized","3",,"favour
favour
favour","2017-04-24 11:57:57","856477308357660672","HeelLeClech","Le Parti socialiste appelle à voter Macron pour fait barrage à Le Pen #Presidentielle2017 https://t.co/SG8Zj3lPA4 https://t.co/EJFKR2J5Ll","543597645"
"1266459001","false","finalized","3",,"against
against
against","2017-04-24 12:01:10","856478118931988480","Obsequiumamicos","#Presidentielle2017 : « #Macron a récupéré tous les tocards de la politique», l’intervention musclée de Philippe… https://t.co/ByVysUWy21","4890037876"
"1266458955","false","finalized","3",,"none
none
favour","2017-04-24 12:45:08","856489181056512001","magic_grey","Je lis ""Macron à la Rotonde, erreur de com"".
Genre il aurait dû aller au drive du burger king.

Cet entre deux tours me fatigue déjà.","3203491468"
"1266459794","false","finalized","3",,"against
favour
favour","2017-04-24 12:59:52","856492888401862656","YanMaes","F. Patriat sénateur PS soutient Macron et vante les ""réussites"" du gouvernement Hollande ???? Macrollande poursuivra l… https://t.co/jSQw25741C","3148293489"
"1266459095","false","finalized","3",,"against
against
against","2017-04-24 13:13:30","856496320391110656","MarieLaureDupon","La #Rotonde #Macron... plus chère que le #Fouquets  #Sarkozy
Suffit de comparer les côtes de beuf!
Qui paie?.. Quel… https://t.co/TYDRTlBvvF","119243702"
"1266459183","false","finalized","3",,"against
against
against","2017-04-24 13:34:25","856501582871093249","Kameyy_","Punaise j'ai vraiment du mal avec Macron...","2966757628"
"1266459418","false","finalized","3",,"against
against
against","2017-04-24 13:48:31","856505132191711233","Endzyfr","Emmanuel Macron a oublié qu'il y a un 2ème tour, il pense qu'il est déjà président: https://t.co/ihDvf5wn00 via @YouTube","1537092553"
"1266459175","false","finalized","3",,"against
against
against","2017-04-24 13:55:53","856506985176584192","hugoengel4","Donc #MACRON prend ses conseils économiques avec Jacques ATTALI. Regardez ce que ce crétin prévoyait pour fin 2011
https://t.co/Q1UNphDG8x","2340405962"
"1266458898","false","finalized","3",,"against
against
against","2017-04-24 14:42:23","856518687544807424","Mamadou06736795","""@Fiorenzo_Pazzo: -Qui a voté pour Macron? Je répète: qui est un fils de pute? https://t.co/vf2oCB53rH""toi même","854052797150617600"
"1266459301","false","finalized","3",,"against
none
none","2017-04-24 14:42:27","856518707757158400","RachDeVaincre","64 ans la femme de Macron ? J'espère qu'on aura toujours une première dame après les vacances d'été.","980640632"
