"protestation","negemo"
"haine","negemo"
"haine","negemo"
"hébéter","negemo"
"pardon","negemo"
"risque","negemo"
"déranger","negemo"
"paranoïa","negemo"
"désespérément","negemo"
"trlvl","negemo"
"désordonné","negemo"
"solennel","negemo"
"battu","negemo"
"malheureux","negemo"
"idiot","negemo"
"douloureux","negemo"
"harceler","negemo"
"antagoni","negemo"
"envieux","negemo"
"puanteur","negemo"
"traîner","negemo"
"chagriner","negemo"
"guerres","negemo"
"grief","negemo"
"incertain","negemo"
"déprimer","negemo"
"worr","negemo"
"flunk","negemo"
"sans coeur","negemo"
"pire","negemo"
"contradictoire","negemo"
"agonie","negemo"
"douloureux","negemo"
"décevoir","negemo"
"faux","negemo"
"négligence","negemo"
"pire","negemo"
"traqué","negemo"
"sarcas","negemo"
"ennemie","negemo"
"obscurité","negemo"
"se produire","negemo"
"insincer","negemo"
"déprimer","negemo"
"maniaque","negemo"
"arriviste","negemo"
"désespéré","negemo"
"angr","negemo"
"confus","negemo"
"fuckin","negemo"
"aggrave","negemo"
"timide","negemo"
"habiter","negemo"
"amer","negemo"
"particulier","negemo"
"culpabilité","negemo"
"heartbroke","negemo"
"snob","negemo"
"unir les","negemo"
"grave","negemo"
"alarme","negemo"
"crier","negemo"
"ridicule","negemo"
"poison","negemo"
"despis","negemo"
"dégoûter","negemo"
"geek","negemo"
"souffre","negemo"
"mal","negemo"
"voler","negemo"
"souches","negemo"
"catastrophe","negemo"
"échouer","negemo"
"idiot","negemo"
"vanité","negemo"
"paresseux","negemo"
"pitié","negemo"
"faute","negemo"
"a dû","negemo"
"dure","negemo"
"petit","negemo"
"négatif","negemo"
"usa","negemo"
"chatte","negemo"
"les méfaits","negemo"
"responsabilité","negemo"
"la honte","negemo"
"violé","negemo"
"nuire","negemo"
"vis","negemo"
"vautour","negemo"
"mal","negemo"
"sanglotant","negemo"
"jaloux","negemo"
"souffrance","negemo"
"reluctan","negemo"
"soumis","negemo"
"se moque","negemo"
"moqueur","negemo"
"désavantage","negemo"
"piquer","negemo"
"ennuyer","negemo"
"insecur","negemo"
"péchés capitaux","negemo"
"perdant","negemo"
"a pleuré","negemo"
"sous","negemo"
"menti","negemo"
"des mensonges","negemo"
"unwelcom","negemo"
"insulter","negemo"
"frustré","negemo"
"bats toi","negemo"
"combattu","negemo"
"guerre","negemo"
"warred","negemo"
"plus fou","negemo"
"émotif","negemo"
"tempérer","negemo"
"interruption","negemo"
"fureur","negemo"
"dérangé","negemo"
"en guerre","negemo"
"merde","negemo"
"a protesté","negemo"
"ignorer","negemo"
"sérieux","negemo"
"ennemi","negemo"
"la terreur","negemo"
"souffert","negemo"
"faire le deuil","negemo"
"sucky","negemo"
"craignant","negemo"
"asham","negemo"
"sans espoir","negemo"
"molester","negemo"
"violeur","negemo"
"incertain","negemo"
"désillusion","negemo"
"seul","negemo"
"anxi","negemo"
"bizarre","negemo"
"secoué","negemo"
"pouah","negemo"
"perver","negemo"
"faux","negemo"
"de un","negemo"
"larmes","negemo"
"consternation","negemo"
"battl","negemo"
"merde","negemo"
"se moque","negemo"
"fumant","negemo"
"désespoir","negemo"
"irrationnel","negemo"
"critiques","negemo"
"furieux","negemo"
"sucer","negemo"
"irrite","negemo"
"stress","negemo"
"sans importance","negemo"
"offens","negemo"
"offenser","negemo"
"infraction","negemo"
"précaire","negemo"
"aspirer","negemo"
"secouer","negemo"
"doutes","negemo"
"stupide","negemo"
"inférieur","negemo"
"rejeter","negemo"
"timide","negemo"
"négligent","negemo"
"mis à la porte","negemo"
"impoli","negemo"
"désordre","negemo"
"sérieusement","negemo"
"argument","negemo"
"argh","negemo"
"hostile","negemo"
"rebelle","negemo"
"apth","negemo"
"sceptique","negemo"
"tragique","negemo"
"terrifiant","negemo"
"ardent","negemo"
"tempérament","negemo"
"blesser","negemo"
"choc","negemo"
"seulement","negemo"
"traumatisme","negemo"
"colère","negemo"
"inhib","negemo"
"détruire","negemo"
"pain","negemo"
"agression","negemo"
"trembl","negemo"
"melanchol","negemo"
"avidité","negemo"
"feroc","negemo"
"tricher","negemo"
"sorcière","negemo"
"méchant","negemo"
"agoniz","negemo"
"hostile","negemo"
"peiné","negemo"
"éviter","negemo"
"n'aiment pas","negemo"
"dégâ","negemo"
"rage","negemo"
"colère","negemo"
"railleur","negemo"
"sangloté","negemo"
"tour","negemo"
"imbécile","negemo"
"blam","negemo"
"outrag","negemo"
"odieux","negemo"
"peine d'amour","negemo"
"échappement","negemo"
"pleurer","negemo"
"faire cuire au four","negemo"
"sévère","negemo"
"fume","negemo"
"violent","negemo"
"rigide","negemo"
"envie","negemo"
"étourdie","negemo"
"sinistre","negemo"
"petrif","negemo"
"infaillible","negemo"
"malheureux","negemo"
"critique","negemo"
"terrifie","negemo"
"terrifié","negemo"
"puanteur","negemo"
"agité","negemo"
"sandwiches","negemo"
"faible","negemo"
"atroce","negemo"
"rage","negemo"
"tristesse","negemo"
"la frayeur","negemo"
"frappé","negemo"
"dieu","negemo"
"idiot","negemo"
"aspiré","negemo"
"faible","negemo"
"putain","negemo"
"gravité","negemo"
